,Unnamed: 0,Unnamed: 0.1, Job,Date,Jobstatus,Location,Text,Title,Polarity Score,Neutral Score,Negative Score,Positive Score,Sentiment,Reviewclass,polarity,subjectivity,Review Length,Reviewclassif
951,951,6,Driver,2015-10-06,Former Employee,ohio,was a good place to work seemed like there was advancement opportunity over all i enjoyed my time there and only left for a better paying job my job was to go park the vehicles in the lot,Was a nice work environment,0.9246,0.676,0.0,0.324,Positive,1.0,0.33999999999999997,0.5599999999999999,187,Positive
950,950,5,Professional Driver,2015-10-08,Former Employee,"Chelsea, MI","working at chrysler group llc at the chelsea, mi proving grounds was a very enjoyable job i worked as a professional driver, performing a huge variety of different tests on all concept and pre-production vehicles i enjoyed coming to work every day and pushing my self to do the best job possible for the task set for the day all of my co-workers and supervisors were very professional and we would all work together to do the best job possible i worked with engineering a lot on problems or concerns i found when testing the vehicles",Great work place with enjoyable work and good pay.,0.9381,0.805,0.026,0.169,Positive,1.0,0.378,0.581,533,Positive
949,949,4,Production Operator,2015-10-10,Former Employee,"Kokomo, IN",there was too much indecisiveness between management often there were quality issues over-looked to meet parts quota majority of people working did not care enough about the longevity of the company to do their jobs to the best of their ability,Unorganized and wasteful,0.3761,0.764,0.102,0.134,Positive,1.0,0.39999999999999997,0.3333333333333333,244,Neutral
948,948,3,Employee,2015-10-10,Former Employee,Anonymous,not a good company for support or teamwork culture has changed since merger with fiat need to be more supportive and compassionate towards management,No teamwork or support,0.7392,0.632,0.08,0.288,Positive,1.0,0.21666666666666667,0.7000000000000001,149,Positive
944,944,20,Forklift Operator,2015-10-12,Former Employee,"Toledo, OH","place is hades! paycheck is not even worth it! even the union stabs you in the back!worst employer i've ever worked for!so many ghetto, violent people tag work there and management doesn't keep them in check!",Worst employer ever!,-0.8636,0.774,0.226,0.0,Neutral,-1.0,-0.041666666666666664,0.5333333333333333,208,Positive
947,947,2,Fleet Sales,2015-10-12,Current Employee,"Auburn Hills, MI",- typical day at work consisted of running reports and following up on projects with other departments - learned a ton on working with excel and how to build strong relationships within the company and outside customers - management was interesting and has improved over the year- enjoyable part of the job was learning the systems and how to become the best at working with them and getting the best results to show to upper management,Interesting and Learned a ton,0.9732,0.735,0.0,0.265,Positive,1.0,0.31416666666666665,0.3458333333333333,436,Positive
946,946,1,Production Area Manager,2015-10-12,Current Employee,"Toledo, OH",i came from the automobile assembly plants at tac i desire the excitement in the work atmosphere that comes from more complex processes and machines that run when scheduled,Boring facility,0.7096,0.809,0.0,0.191,Positive,1.0,0.1,0.45,172,Positive
943,943,19,Team Leader,2015-10-13,Current Employee,"Detroit, MI","i thought chrysler was something special but i feel like its kinda a trap, and i don't want to be trapped within my career",Terrible Working enviornment,-0.5177,0.526,0.296,0.179,Positive,-1.0,0.07857142857142857,0.2857142857142857,122,Positive
942,942,18,Sales Consultant,2015-10-13,Current Employee,Florissant Mo,"fun people, but long hours and not very interesting pay is % commission so it is hard to predict and budget with a family",Sell new and used cars,-0.3193,0.664,0.192,0.144,Positive,-1.0,-0.058493589743589744,0.3815705128205128,121,Positive
941,941,17,District Sales manager,2015-10-14,Former Employee,tappan ny 10984,coraporative environment team environment with co workers most enjoyable is to complete job objective and sales penetration objective as a team,best work environment,0.4927,0.856,0.0,0.144,Positive,1.0,0.22000000000000003,0.34,143,Positive
940,940,16,Production Unit Leader,2015-10-14,Current Employee,"Sterling Heights, MI",great opportunity to grow in company your working with many managers along with control of over plus people in your department,Unit Leader,0.7845,0.734,0.0,0.266,Positive,1.0,0.65,0.625,126,Positive
939,939,15,Chassis Build Coordinator,2015-10-15,Former Employee,"Auburn Hills, MI",this job personally provided a lot of satisfaction as i was directly able to impact the quality of the automobiles the company sold,Good solid company to work for,0.4404,0.873,0.0,0.127,Positive,1.0,0.25,0.4625,131,Positive
938,938,14,Team Leader,2015-10-16,Former Employee,"Sterling Heights, MI","inspect automotive parts for flaws,defects, and imperfections and reports issues to supervisor or upper management to be repaired",Productive work environment,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.0,129,Negative
937,937,13,Program Manager - - Engine Systems,2015-10-18,Former Employee,"Auburn Hills, MI","it is your typical automotive work environment, which originally drove the us industry into the wholepay is great, but management team leas a lot to desire",Great Pay Poor Work Environment,0.7269,0.79,0.0,0.21,Positive,1.0,0.3361111111111111,0.6666666666666666,155,Positive
936,936,12,Manager,2015-10-18,Current Employee,Auburn Hills,"great place to work, supportive management and a fast paced environment transitioning from a legacy company to a new and agile company",Great Place to work,0.743,0.73,0.0,0.27,Positive,1.0,0.42727272727272725,0.7109090909090909,134,Positive
935,935,11,Sales Manager,2015-10-19,Former Employee,Minnesota,hor weeks with low compensation and benefits co workers were awesome to work with winter working long hours outside loved selling and meeting new people hours were : till pm,Long hours with bad compensation,0.8591,0.663,0.056,0.281,Positive,1.0,0.2977272727272727,0.5007575757575758,173,Positive
933,933,9,WCM Organization Representative,2015-10-19,Current Employee,"Warren, MI",fca has been an excellent company to work for they have given me an excellent opportunity to advance and learn new things i have enjoyed being allowed to work in wcm and the people that i work with,"I am responsible for training employees, data entry, and maintaining boards.",0.926,0.703,0.0,0.297,Positive,1.0,0.6590909090909091,0.7886363636363636,197,Positive
934,934,10,Production worker,2015-10-19,Former Employee,"Warren, MI","i enjoyed working for fiat chrysler, they had many work stations for you to work jobs from hi-lo, press, and assembly machines","Harworking environment, its fun if you make it!",0.5106,0.858,0.0,0.142,Positive,1.0,0.5,0.6,126,Positive
930,930,6,Pre - Series Supervisor,2015-10-21,Former Employee,"Auburn Hills, MI","good life great workplace people are bomb always a good day, never gets boring i don't know what else you want me to say it is a good place, let it be",Great,0.8971,0.533,0.078,0.389,Positive,1.0,0.38,0.7100000000000001,150,Positive
931,931,7,Follow-Up Manager - Belvidere Assembly Plant,2015-10-21,Current Employee,"Belvidere, IL","no balance, no compassion for people warm body, and a heart beat is all they want, and once you have had enough, they could care less",Good Pay/ Terrible Life,0.6124,0.579,0.134,0.287,Positive,1.0,0.14444444444444446,0.3888888888888889,133,Positive
932,932,8,Assembly worker,2015-10-21,Former Employee,"Detroit, MI",i have got injured many times at chrysler warren truck and they would give me a pill then its back to work like i said chrysler value their money more than their employees safety that's not right it feels like i was working for a bad corporation i couldn't see myself retiring from there,only thing about chrysler is the good pay.,0.4588,0.719,0.106,0.175,Positive,1.0,0.03142857142857147,0.4404761904761904,287,Negative
929,929,5,Material Control Supervisor,2015-10-22,Current Employee,"Sterling Heights, MI",a stepping stone company to get manufacturing experience poor work balance life and no fair compensation for lower management,A job,-0.6369,0.588,0.315,0.097,Positive,-1.0,-0.375,0.75,125,Positive
928,928,4,Sales and Leasing Consultant,2015-10-22,Former Employee,"San Antonio, TX","i worked for a chrysler dealership, and they always seemed to provide for me while i sold the cars i sold them for a total of one year before transitioning to porsche",Enjoyed,0.0,1.0,0.0,0.0,Neutral,0.0,0.0,0.75,166,Positive
927,927,3,Product specialist,2015-10-23,Former Employee,Maple shade,"these sales folks use fraudulent sales tactics and even have suggested voluntary repo to folks, don't bother working or going here worst company ever",No integrity,-0.7402,0.692,0.241,0.067,Positive,-1.0,-1.0,1.0,149,Positive
926,926,2,Project Chief,2015-10-24,Current Employee,MI,working at chrysler is challenging as well as rewarding the team's are driven to deliver and meet corporate objectives and milestones,Positive culture flexible work environment,0.7269,0.717,0.0,0.283,Positive,1.0,0.3333333333333333,0.6666666666666666,133,Positive
925,925,1,Production Unit Leader,2015-10-26,Current Employee,"Kokomo, IN",trying to motivate employees who think everything is owed to them and have no work experience is the most difficult thing to do no sense of pride in their jobs,too much flucuation in job,-0.2944,0.672,0.193,0.134,Positive,-1.0,0.0,0.75,159,Positive
923,923,20,Sales Rep,2015-10-26,Former Employee,"Whittier, CA","be a bet conservative it often is interpreted as quality be quick to recognize and reward performance i try to look for lessons to learn all around me, whether they re good or bad i was blessed to work for people that taught me some interacted with managed me and others around me",wonderful place too work for,0.7906,0.767,0.058,0.175,Positive,1.0,0.11111111111111112,0.5888888888888889,280,Positive
921,921,18,ASSEMBLY LINE,2015-10-29,Current Employee,"Toledo, OH",great job nice people and a very good workoutthe hardest part of the job was going homemy co-workers were highly motivated and so was i,Great job,0.9244,0.587,0.0,0.413,Positive,1.0,0.6174999999999999,0.7675000000000001,135,Positive
922,922,19,Area Central and Line Maintenance Supervisor,2015-10-29,Former Employee,"Detroit, MI",i was a maintenance supervisor i was responsible for the machining lines and assembly lines and the entire million square foot facility i loved working with the very talented skilled trades i used a lot of professionalism to get the job done i loved project planning and getting machines running and troubleshooting the problem i learned a lot on the job about the very highly technical equipment i worked with i worked my way into a total maintenance system coordinator position,Great place to work in a very clean and new environment working with state of the art machinery,0.9134,0.777,0.033,0.19,Positive,1.0,0.37625,0.640625,479,Positive
920,920,17,Forklift Operator,2015-10-29,Former Employee,"Denver, CO","chrysler was a good place to worki learned how to operate a forklift,and other warehouse duties such as re warehousing,exception clerk,shipping,receiving and inventory control",verry  relaxed envirement,0.4404,0.879,0.0,0.121,Positive,1.0,0.19166666666666665,0.4916666666666667,175,Positive
919,919,16,Production Operator (Team Leader),2015-11-02,Current Employee,"Sterling Heights, MI",building world class manufacturing cars on a daily basis for the public great company to work for with advancement growth potential and tuition reimbursement,Productive Work Place manufacturing Cars,0.7717,0.758,0.0,0.242,Positive,1.0,0.2,0.45416666666666666,157,Positive
918,918,15,Assembly Line Worker,2015-11-03,Former Employee,"Belvidere, IL",cutting edge technology being used in a fast paced environment to produce and distribute enough cars to fill the customer demands,Fast paced enviroment.,-0.128,0.927,0.073,0.0,Neutral,-1.0,-0.13333333333333333,0.6666666666666666,129,Negative
917,917,14,Industrial Engineer,2015-11-04,Former Employee,"Sterling Heights, MI",good environment and working with union sometimes gives you challenges good place to work lack of work coordination between people,good place,0.5859,0.63,0.091,0.28,Positive,1.0,0.7,0.6000000000000001,130,Negative
916,916,13,Programmer Analyst III,2015-11-04,Former Employee,"Highland Park, MI",chrysler it department was a joy to work in i had an opportunity too expand my abilities in coding as well as systems support i left there when i was recruited by eds after gm bought them,Productive and learned quite a bit of IT.,0.9287,0.632,0.0,0.368,Positive,1.0,0.4,0.1,187,Positive
915,915,12,Roving Auditor,2015-11-06,Former Employee,"Belvidere IL, 61008","chrysler was one of my favorite manufacturing company's to work i gained many skills there i worked in every department at chrysler, used all different types of machinery and tools my last job as a roving auditor i was independent worker, assigned to do all government inspections on the engine line and part of trim i ensured all cars parts were % quality any defects, i alerted supervisor shut line down until problem fixed knew all specs, used a diatomite performed all paperwork and had tools calibrated regularly worked all overtime inspection is important as well as safety while performing jobs",Great place to work,0.7096,0.829,0.052,0.119,Positive,1.0,0.14938271604938272,0.42860873694207036,601,Positive
914,914,11,Supplier Quality Engineering Intern,2015-11-09,Former Employee,"Auburn Hills, MI",very little opportunity to grow in company the culture needs to get more positive facilities are great and the pay is good need to focus more on quality,Fca,0.9228,0.604,0.037,0.359,Positive,1.0,0.4139204545454545,0.5909090909090909,152,Positive
913,913,10,inspector/ quality,2015-11-10,Former Employee,"Fenton, MO","i learned the difference between good and defective parts for assembly of the minivan my manager was excellent, she communicated and supported me and my coworkers, with our job functions, regarding rejection of defective parts when called into question by production supervisormy ooworker was very good at communicating problems and listening to complaints in regards to defective partsthe hardest part of my job was lifting all the defective metal parts from the, body & paint shops, putting them into the scrap bin for recylcingthe most enjoyable part of my job , was knowing that my work was responsible for a quality product going to the customer",Receiving calls regarding bad parts responding to call to check if parts met Engineering standards,-0.4951,0.702,0.162,0.136,Positive,-1.0,0.635,0.6716666666666667,650,Positive
912,912,9,Contract Instructor,2015-11-10,Former Employee,"Malvern, PA",i instructed chrysler/dodge&jeep dealership technicians on how to service and repair new chrysler vehicles taught in a large classroom facility with all of the latest diagnostic equipment,Senior Technical Training Instructor,0.0,1.0,0.0,0.0,Neutral,0.0,0.28354978354978355,0.5943722943722943,187,Positive
911,911,8,Team Leader,2015-11-11,Former Employee,"Warren, MI",i truly enjoyed this experience this place quipped me with knowledge on people and a process of faith and quality for customer service,wonderful place to work,0.8402,0.667,0.0,0.333,Positive,1.0,0.5,0.7,134,Neutral
910,910,7,Production line worker,2015-11-18,Former Employee,"Belvidere, IL","people were nice, i enjoyed that the pay was pretty competitive for the area the benefits were not the best in the world, but their were some the area was nice, that business was in",Great Place,0.8232,0.613,0.08,0.307,Positive,1.0,0.5900000000000001,0.8,181,Negative
909,909,6,Was promoted to assistant detail manager,2015-11-18,Former Employee,"Culpeper, VA",responsible for new and used car on lot as well as customer vehicles making sure bay is clean and safe for all employees incredible management made everyday fun and enjoyable,Typical day at work,0.9477,0.554,0.0,0.446,Positive,1.0,0.35589225589225587,0.5992704826038159,174,Positive
908,908,5,Assembly Line Worker,2015-11-19,Former Employee,Stl.Mo,"worked on various assembly line jobs all throught plant as a swing worker,meaning,i learned all line jobs in bodyshopco workers were cordial,and helpful,hardest part of job was learning all the new jobs,good salry,and hours were the best part of the job,and also seeing the end result of product when finished",Assembly line worker (TPT),0.6369,0.92,0.0,0.08,Positive,1.0,0.37878787878787873,0.4181818181818182,309,Positive
907,907,4,Metal Model Maker,2015-11-20,Former Employee,"Detroit, MI",would like to return to chrysler llc chrysler was a family oriented employer which created harmony within the work place i would recommend anyone to take employment with fca if one has the opportunity,Very friendly worker management relationship.,0.8885,0.684,0.0,0.316,Positive,1.0,0.0,0.0,200,Positive
906,906,3,Auto Worker,2015-11-24,Former Employee,"Warren, MI","working at a very fast pace, installing anywhere from to transmissions an hour team work was key to staying ahead of the game falling behind becomes extremely daunting without the help of co-workers to lend a help",Fast paced environment,-0.6269,0.84,0.16,0.0,Neutral,-1.0,-0.133,0.776,213,Positive
905,905,2,Production Unit Leader,2015-11-26,Current Employee,"Warren, MI",no comment of a day to day or year to year at fiat chrysler automobiles it's not recommended by me to work here i am forced to write something about this unfortunate experience,Fca,-0.8516,0.724,0.276,0.0,Neutral,-1.0,-0.4,0.6,176,Negative
904,904,1,Assembly Line Worker,2015-12-01,Former Employee,"Warren, MI",working on the assembly line for hours i learned a lot of speed the management keep be better co-workers was great to work with the hardest part of the job was standing and working on the trucks the most enjoyable part was meeting new people,productive,0.8805,0.797,0.0,0.203,Positive,1.0,0.4872727272727272,0.5609090909090909,241,Positive
902,902,20,Salesman,2015-12-02,Former Employee,"Paramus, NJ",very aggressive in sales no use of technology what so ever all deals were done with paper fun sales environment consistent contests used to drive more sales,Sales aggressive,0.0534,0.765,0.13,0.105,Positive,1.0,0.3125,0.3125,156,Positive
901,901,19,Janitor/Cleaner,2015-12-05,Former Employee,"Detroit, MI","physically demanding workplace with lots of opportunities to learn new skills positive teamwork and safety oriented environment co-workers that get along well and are supportive of one another many varied tasks to complete, great pay/benefits, as well as chances to develop and learn leadership skills","Active, fun environment with great co-workers",0.9545,0.608,0.032,0.36,Positive,1.0,0.3233766233766234,0.5418367346938775,301,Positive
900,900,18,Production Team Lead/Reprocess Technician,2015-12-08,Current Employee,"Detroit, MI",a perfect place to work with great benefits and perks tuition reimbursement program available at employee's request overall a friendly and safe environment,Great Stepping Stone,0.9477,0.492,0.0,0.508,Positive,1.0,0.5125000000000001,0.525,155,Positive
899,899,17,Assembly Worker,2015-12-10,Former Employee,"Trenton, MI",had an awesome time building engines that is used world wide for chrysler cars i enjoyed the environment and the people working along side me,Great place of employment,0.8126,0.748,0.0,0.252,Positive,1.0,0.4666666666666666,0.6999999999999998,141,Positive
898,898,16,Project Manager - Infrastructure,2015-12-14,Current Employee,"Auburn Hills, MI","great place to work, work life balancewould recommend to work here coworkers are great, management is great toothe most enjoyable part is regular fun at work activities",Great place to work,0.9694,0.497,0.0,0.503,Positive,1.0,0.5285714285714286,0.5181318681318682,168,Positive
897,897,15,Retail Development Specialist,2015-12-24,Current Employee,"Boston, MA",wrote and implemented dealership training processes how to present to training curriculum to large numbers of staff seeing dealership engage in change,Retail Process Developer,0.34,0.897,0.0,0.103,Positive,1.0,0.10714285714285714,0.21428571428571427,150,Negative
896,896,14,Lead Table Operator,2015-12-31,Former Employee,"Rockford, IL",i have to say that this was my favorite job i worked with great people in a good environment i learned how to measure and pack a harness for a vehicle,Very Productive,0.875,0.688,0.0,0.312,Positive,1.0,0.6666666666666666,0.7833333333333333,150,Positive
895,895,13,Operated machinery used in the production process,2016-01-06,Former Employee,"Detroit, MI",its a nice place to work and make new friends always try to be on time make your job easier and keep you up on your feet and always got nice hours,workplace,0.8885,0.701,0.0,0.299,Positive,1.0,0.4454545454545455,0.8181818181818182,146,Negative
894,894,12,Business Unit Leader,2016-01-08,Former Employee,"Perrysburg, OH","they don't care for you as an individual if you want to jeopardize your family and anything meaningful in your life, work here if you care about money and lots of it work here, this is the place for you you will work lots of hours and not have an opportunity to share it with the family they will be out spending it without you",demanding and uncaring.,-0.4191,0.815,0.105,0.08,Positive,-1.0,0.25,0.45,327,Neutral
893,893,11,Assembly Line Worker,2016-01-08,Former Employee,"Belvidere, IL",learned several jobs and over different departments applied parts towards the engineering of an automobile co workers were fun to work with,Manufacturing,0.5106,0.864,0.0,0.136,Positive,1.0,0.09999999999999999,0.26666666666666666,139,Negative
892,892,10,Production Worker,2016-01-11,Former Employee,"Toledo, OH","it was never a dull moment that taught me a lot about efficiency, being a team player and how to do a lot about vehicles that i began to do on my own, i loved the togetherness of the team as we became like family through the long days and hours yet the hardest parts were starting all over in a new area or team only to again enjoy the day as some days went slower than others",I enjoyed everything about this place yet my family life became more important,0.924,0.821,0.0,0.179,Positive,1.0,0.2415246212121212,0.5943181818181817,376,Positive
891,891,9,Customer Service Consultant,2016-01-16,Former Employee,5400 Lemmon Avenue Dallas Tx.,"in the medical field, you learn a lot about it, according to what you're profession maybe you have a good supporting management and team playersthe most enjoyable part of the job is knowing that you've done what it took to make the client and customers satisfied","Busy, but laid back amosphere",0.8955,0.772,0.0,0.228,Positive,1.0,0.4083333333333334,0.4916666666666667,262,Positive
890,890,8,Assembly Worker,2016-01-18,Former Employee,"Trenton, MI",i learned how to work hard good experience and i would not mind working there again when the opportunity approaches again,Chrysler,0.6486,0.693,0.061,0.247,Positive,1.0,0.20416666666666664,0.5708333333333333,121,Positive
889,889,7,Independent Contractor,2016-01-19,Former Employee,"Austin, TX","great company to work for if you are young, driven and without a family you will work days a week with only sundays off you will work very long hours until the job is done but will be compensated very well it is a lifestyle you will never get a lunch break so pack meals and a lot of snacks you'll also gain the freshman unless you hustle out on the car lot and up walk ons trust me that is where your moneys atsave up at least months worth of income before starting this job it is extremely seasonal there is no such thing as a for sure paycheck if you cannot sell within days get out! i do wish they had given regular days off, had more room for females to move up, and honored the earned paid time off good luck!oh and its a good car company to start with",One of the top 2 best jobs I ever had.,0.9884,0.771,0.016,0.213,Positive,1.0,0.22900000000000004,0.5157207977207977,758,Positive
888,888,6,Material Logistics / CAD Operator,2016-01-20,Current Employee,"Sterling Heights, MI",get to see new prototype vehicle currently not on the road yetgreat team oriented environment unionized hourly personnel great to get to know and work with,Exciting and secure place to work.,0.6249,0.859,0.0,0.141,Positive,1.0,0.31212121212121213,0.5348484848484848,155,Positive
887,887,5,Production Operator,2016-01-22,Former Employee,"Kokomo, IN","pays so well, they have some positions that are extreme labor but other than that decent benefits and great pay if you get a chance to work here take it!",loved it,0.9176,0.613,0.041,0.346,Positive,1.0,0.22916666666666666,0.6979166666666666,153,Positive
886,886,4,Paint shop,2016-01-25,Former Employee,"Sterling Heights, MI","the work was fast paced but the line was down everyday around lunch the supervisors here were not good at all they would come around and you wouldnt see them until it was time to go some of the co-workers were easy to get along with and some were rude i learned how to seal cars, sand, wet sand, and buff spots of of cars",Chrysler,-0.5038,0.848,0.099,0.054,Positive,-1.0,-0.06746031746031746,0.5603174603174603,321,Positive
885,885,3,Regional Brand Marketing Manager,2016-01-26,Current Employee,"Tappan, NY","responsible for delivering monthly sales and share objectivesfocus on the development of brand and product awareness use analytical data to identify market trends, and create ground up marketing programs to drive sales results develop and deliver executive level presentations and business cases",Position Surmmary,0.6808,0.855,0.0,0.145,Positive,1.0,0.2,0.55,295,Positive
884,884,2,Quality Control Engineer,2016-01-28,Current Employee,"Sterling Heights, MI",i was in quality control dept which was responsible for defect free production it was a good experience and will help me in future,Good company to work with,0.8316,0.556,0.078,0.366,Positive,1.0,0.325,0.51875,130,Neutral
883,883,1,Production Operator,2016-01-29,Former Employee,"Toledo, OH","this was one of my more challenging jobs to work, but i loved it the only downside to it was the hours and missing time with my family","Hard work, great pay and benefits",0.3604,0.655,0.151,0.194,Positive,1.0,0.3,0.6699999999999999,134,Positive
881,881,20,Sales Associate,2016-02-01,Current Employee,6210 spid corpus christi tx 78412,"this is a great company to work for, they are family oriented,respectful,and prompt, stable,reliable,i will recommend this company to any sales consultant interested in saling vehicles",a day with fiat,0.8519,0.703,0.0,0.297,Positive,1.0,0.525,0.625,184,Positive
880,880,19,Quality Engineer (Body/Trim/Chassis/Final),2016-02-01,Former Employee,"Fenton, MO","i was very fortunate to work at chrysler (st louis north assembly plant) as one used to the nuclear industry, i am always amazed with the difference in culture (safety, cooperation) between nuclear and the auto industry, as seen in the years i was there",Cost and Delivery are the predominant concerns,0.7501,0.862,0.0,0.138,Positive,1.0,0.52,0.9099999999999999,253,Positive
879,879,18,Production Support Team Lead,2016-02-02,Current Employee,"Sterling Heights, MI","i present status update presentations of production environment to leadership manage inventory supply levels for production line administer feedback to management on process improvements of production assembly fabricate, align and join parts to construct a variety of products, such as electronics, appliances, machinery and motor vehicles",Work life at FCA,0.5423,0.903,0.0,0.097,Positive,1.0,0.0,0.25,339,Negative
878,878,17,Assembly Line Worker,2016-02-03,Current Employee,"Belvidere, IL","i come to work to work and support my familyi do my job to the best of my ability and go home at the end of the day i work in the dept that deals with mostly robot jobs, but i have been to most places we make cars",work,0.6249,0.876,0.0,0.124,Positive,1.0,0.6666666666666666,0.43333333333333335,213,Negative
876,876,15,Shift Manager,2016-02-05,Current Employee,Michigan,the culture is world class manufacturing with emphasis on achieving real measurable target and high emphasis on quality and delivery,Culture,0.0,1.0,0.0,0.0,Neutral,0.0,0.18,0.42,132,Positive
877,877,16,Field Ops,2016-02-05,Current Employee,"Auburn Hills, MI","working with great people is important and the people are quality, which has been the best part of the job on hard days, they make it worthwhile",Great people,0.9022,0.613,0.039,0.348,Positive,1.0,0.48166666666666663,0.6183333333333333,144,Negative
875,875,14,Program Manager,2016-02-06,Former Employee,Michigan,i truly enjoy my careergood managementopportunity for advancementco-workers are sometimes distracted travel is the most enjoyable part of my job,Very Good,0.7841,0.562,0.09,0.348,Positive,1.0,0.4666666666666666,0.5333333333333333,144,Positive
874,874,13,Advanced transmission controls engineer,2016-02-09,Current Employee,"Auburn Hills, MI","a lot of technical jobs are out sourced to supplier companies if you are looking for a position to learn about the most advanced technology, you may want to apply to positions at ford or gm or other supplier companies chrysler may let you do turn key project and out source the job responsibility to other companies, which makes you end up with nothing to learn",A lot of jobs are out sourced,0.3804,0.945,0.0,0.055,Positive,1.0,0.10833333333333334,0.4916666666666667,361,Positive
873,873,12,Sales Consultant,2016-02-11,Former Employee,"Miami, FL",fiat was very much a learning experience for me it was a old car but redesigned and back on the market everyday you walk the lot to check inventory to see what was sold and what is still availablethe co-workers were great and helped me and encouraged me to learn something new everyday the hardest part of the job was when we had no customers for days at a time when you got a sale it was amazing,"Beautiful building to work in, great car to drive",0.9231,0.806,0.032,0.162,Positive,1.0,0.18704545454545454,0.47056818181818183,396,Positive
872,872,11,Senior Manager - World Wide Production Planning,2016-02-12,Former Employee,Auburn Hills,"a typical day would entail to hours of meetings; plus subordinate debriefs, assignments, and reviews; as well as my own assignments over the years i learned about working within a number of corporate disciplines, time management, multitasking, and managing others i have worked for numerous managers with as many styles of management my co-workers usually shared similar motivations to advance as well concerns about the marketplace competition and the economy the hardest part of the job would be letting a employee go the best part would be achieving goals, hitting your forecast, or promoting one of your employees",Very demanding but rewarding workplace.,0.9118,0.856,0.0,0.144,Positive,1.0,0.21041666666666667,0.43124999999999997,617,Positive
871,871,10,Supplier Quality Engineer,2016-02-13,Current Employee,Kragujevac,work with suppliers and report to internall customer partsi've learned how to manage suppliersi developed in professional way within fca purchasing i gathered expirience through audits and reports on supplier sitehardest part of the job is travelling most enyojable part is setting action plans for open points and delegates jobs,Quality professional,0.0,1.0,0.0,0.0,Neutral,0.0,0.15999999999999998,0.3,329,Positive
870,870,9,Production Data Managment,2016-02-22,Current Employee,"Auburn Hills, MI",i enjoy this position and the people i work for and with great company to work for i would refer for a position here at fca,Productive / great people,0.8074,0.733,0.0,0.267,Positive,1.0,0.6000000000000001,0.625,123,Positive
869,869,8,AUTO WORKER,2016-02-24,Former Employee,"Warren, MI","nice place to work if you are into making cars long hours but the pay is worth it, the benefit are pretty good as well the union is great, the management is very strict about attendance",Good Place to work.,0.9726,0.524,0.03,0.446,Positive,1.0,0.39999999999999997,0.5928571428571429,185,Positive
868,868,7,Assembly Line Worker,2016-02-24,Former Employee,"Warren, MI",very good place to work the management could be better but the pay and hours are great along with the coworkers as well wonderful healthcare packages its a great atmosphere,productive and fun,0.9734,0.472,0.034,0.494,Positive,1.0,0.8019999999999999,0.756,172,Positive
867,867,6,Machine operator/ warehouse worker,2016-02-25,Former Employee,"Griffin, GA",very stressful work place scott the new boss is very un fair i love the people i worked with an trained just didnt like the pay i was there yrs an felt like i wasnt appreciated,good people,-0.2908,0.57,0.24,0.19,Positive,-1.0,0.38927272727272727,0.4909090909090909,176,Positive
866,866,5,Accounting Assistant/Administrative Assistant,2016-02-26,Former Employee,"Amarillo, TX",a typical day at work is that confidence is given to the staff to provide their special contribution to our clients and each othereveryone treats each other like family staff support and look to see what they can do to make the departments coordinate together more efficiently management was responsible for various duties and sometimes may have to perform the same duties as their co-workers or blue collars the hardest part of the job is to manage budgets on the guidelines and allowables that government providers have setthe most enjoyable part of the job is to feel the gratification of a job well done and appreciated by your peers,Great place to work,0.9769,0.778,0.0,0.222,Positive,1.0,0.17867965367965366,0.4019480519480519,637,Positive
865,865,4,Business Planner,2016-03-03,Former Employee,"Kokomo, IN","great company, benefits and colleagues hard work and long hours but well worth itgreat employee incentives ranging from lease specials to discounts on computers",Amazing company,0.8779,0.571,0.038,0.39,Positive,1.0,0.18958333333333333,0.44791666666666663,160,Positive
864,864,3,"WCM Intern, Professional Maintenance Pillar",2016-03-04,Current Employee,"Kokomo, IN",delicious food and drinks made fresh everyday co-workers are all hard dedicated workers which make the work day much easier and exciting one of a kind place,Great Company,0.9517,0.49,0.036,0.474,Positive,1.0,0.2726190476190476,0.6488095238095238,156,Positive
863,863,2,Product Design and Release Engineer,2016-03-05,Current Employee,"Auburn Hills, MI","during my work at fca, i learned depth of audio systems, navigation, vehicle connectivity, warranty and quality of infotainment systems, handling global projects, managing the programi love and appreciate challenging opportunity i have to learn the details of automotive industry but still way to go","I learned depth of audio systems, warranty and quality of infotainment systems, handling global projects, managing the program.I love challenging work",0.6858,0.836,0.0,0.164,Positive,1.0,0.3333333333333333,0.5333333333333333,299,Positive
862,862,1,Production Operator,2016-03-06,Current Employee,"Toledo, OH",the job is a fast pace job also you learn a lot the benefits are well management is terrible not enough time to spend with your family they don't care if you have a life crisis anything can happen but if it doesn't require the job the don't care what the situation is,productive and good experience,-0.7584,0.769,0.172,0.059,Positive,-1.0,-0.26666666666666666,0.7000000000000001,267,Negative
860,860,20,Senior Manager Indirect,2016-03-08,Former Employee,"Auburn Hills, MI","fca offers an amazing culture, where communication, job roles, and pay are all above industry standard i left fca for another opportunity, with more money i quickly learned that the grass is not always greener on the other side",Fiat Chrysler Automotive,0.7351,0.81,0.033,0.157,Positive,1.0,0.17604166666666668,0.296875,227,Positive
